case_id,strata,difficulty,trap,url_raw,segment_value,expected_is_parameter,expected_param_name,predicted_is_parameter,predicted_param_name,name_match,confidence,error
uuid_0001,uuid,easy,,/api/v2/employees/3fa85f64-5717-4562-b3fc-2c963f66afa6,3fa85f64-5717-4562-b3fc-2c963f66afa6,True,employeeId,True,employeeId,True,0.95,
uuid_0002,uuid,medium,"UUID sans tirets (32 hex), risque de confusion avec la strate hash",/api/v2/employees/3fa85f6457174562b3fc2c963f66afa6,3fa85f6457174562b3fc2c963f66afa6,True,employeeId,True,employeeId,True,0.95,
uuid_0003,uuid,easy,,/hr/v1/leave-requests/9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb6d,9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb6d,True,leaveRequestId,True,leaveRequestId,True,0.95,
uuid_0004,uuid,hard,"deux segments UUID consecutifs separes par un sous-type (contracts), risque de confusion parent/enfant",/api/v1/employees/3fa85f64-5717-4562-b3fc-2c963f66afa6/contracts/9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb6d,3fa85f64-5717-4562-b3fc-2c963f66afa6,True,employeeId,True,employeeId,True,0.95,
uuid_0005,uuid,hard,"deux segments UUID consecutifs separes par un sous-type (contracts), risque de confusion parent/enfant",/api/v1/employees/3fa85f64-5717-4562-b3fc-2c963f66afa6/contracts/9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb6d,9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb6d,True,contractId,True,contractId,True,0.95,
uuid_0006,uuid,hard,"UUID nul (que des zeros), pourrait etre une valeur sentinelle/placeholder plutot qu'un identifiant reel",/payroll/v3/payslips/00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,True,payslipId,True,payslipId,True,0.95,
uuid_0007,uuid,medium,"casse majuscule inhabituelle pour un UUID, un detecteur regex case-sensitive strict peut echouer",/api/v1/candidates/550E8400-E29B-41D4-A716-446655440000,550E8400-E29B-41D4-A716-446655440000,True,candidateId,True,candidateId,True,0.95,
uuid_0008,uuid,medium,"UUID v1 horodate (et non v4), teste un detecteur limite au pattern v4",/recruitment/v2/job-postings/6ba7b810-9dad-11d1-80b4-00c04fd430c8/applications,6ba7b810-9dad-11d1-80b4-00c04fd430c8,True,jobPostingId,True,jobPostingId,True,0.95,
uuid_0009,uuid,hard,"UUID a motif repetitif (uniquement des 1), ressemble a une donnee de fixture/test plutot qu'a un id reel",/api/v1/departments/11111111-1111-1111-1111-111111111111,11111111-1111-1111-1111-111111111111,True,departmentId,True,departmentId,True,0.95,
uuid_0010,uuid,easy,,/api/v2/interviews/f47ac10b-58cc-4372-a567-0e02b2c3d479/feedback/manager,f47ac10b-58cc-4372-a567-0e02b2c3d479,True,interviewId,True,interviewId,True,0.95,
uuid_0011,uuid,hard,"deux UUID consecutifs separes par un sous-type (documents), le nommage depend fortement du contexte local",/benefits/v1/enrollments/123e4567-e89b-12d3-a456-426614174000/documents/9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb6d,123e4567-e89b-12d3-a456-426614174000,True,enrollmentId,True,enrollmentId,True,0.95,
uuid_0012,uuid,hard,"deux UUID consecutifs separes par un sous-type (documents), le nommage depend fortement du contexte local",/benefits/v1/enrollments/123e4567-e89b-12d3-a456-426614174000/documents/9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb6d,9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb6d,True,documentId,True,documentId,True,0.95,
uuid_0013,uuid,easy,"UUID en position de tenant (avant la ressource principale), pas en position finale habituelle",/api/v1/companies/3fa85f64-5717-4562-b3fc-2c963f66afa6/employees,3fa85f64-5717-4562-b3fc-2c963f66afa6,True,companyId,True,companyId,True,0.95,
uuid_0014,uuid,medium,,/api/v1/timesheets/entries/3fa85f64-5717-4562-b3fc-2c963f66afa6,3fa85f64-5717-4562-b3fc-2c963f66afa6,True,entryId,True,entryId,True,0.95,
uuid_0015,uuid,easy,,/api/v1/org-units/6ba7b811-9dad-11d1-80b4-00c04fd430c8,6ba7b811-9dad-11d1-80b4-00c04fd430c8,True,orgUnitId,True,orgUnitId,True,0.95,
uuid_0016,uuid,easy,,/api/v2/performance-reviews/3fa85f64-5717-4562-b3fc-2c963f66afa6,3fa85f64-5717-4562-b3fc-2c963f66afa6,True,performanceReviewId,True,performanceReviewId,True,0.95,
uuid_0017,uuid,hard,chemin profond (7 segments) avec deux UUID consecutifs separes par un sous-type,/api/v1/expenses/reports/9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb6d/lines/6ba7b810-9dad-11d1-80b4-00c04fd430c8,9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb6d,True,reportId,True,reportId,True,0.95,
uuid_0018,uuid,hard,chemin profond (7 segments) avec deux UUID consecutifs separes par un sous-type,/api/v1/expenses/reports/9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb6d/lines/6ba7b810-9dad-11d1-80b4-00c04fd430c8,6ba7b810-9dad-11d1-80b4-00c04fd430c8,True,lineId,True,lineId,True,0.95,
uuid_0019,uuid,medium,"UUID utilise comme filtre de portee (site) avant la ressource principale, position inhabituelle",/api/v1/sites/3fa85f64-5717-4562-b3fc-2c963f66afa6/employees/9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb6d,3fa85f64-5717-4562-b3fc-2c963f66afa6,True,siteId,True,siteId,True,0.95,
uuid_0020,uuid,easy,,/api/v1/sites/3fa85f64-5717-4562-b3fc-2c963f66afa6/employees/9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb6d,9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb6d,True,employeeId,True,employeeId,True,0.95,
hash_0001,hash,medium,"hash MD5 (32 hex), meme longueur qu'un UUID sans tirets - risque de confusion entre strates",/api/v1/documents/5d41402abc4b2a76b9719d911017c592,5d41402abc4b2a76b9719d911017c592,True,documentId,True,documentId,True,0.95,
hash_0002,hash,easy,,/api/v1/files/checksums/aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,True,checksum,True,checksumId,False,0.9,
hash_0003,hash,hard,"hash SHA-256 de la chaine vide (valeur bien connue), pourrait etre une donnee de test/placeholder plutot qu'un hash reel",/payroll/v2/payslips/exports/e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b85,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b85,True,exportHash,True,exportId,False,0.9,
hash_0004,hash,easy,,/api/v1/avatars/9f86d081884c7d659a2feaa0c55ad015,9f86d081884c7d659a2feaa0c55ad015,True,avatarHash,True,avatarId,False,0.9,
hash_0005,hash,medium,"hash court (16 hex), pourrait etre confondu avec un business_code alphanumerique court",/api/v2/cache/short/1a79a4d60de6718e,1a79a4d60de6718e,True,cacheKey,True,cacheEntryId,False,0.8,
