canonical_key,method,normalized_path,source_count,example_original_url
DELETE /auth/sessions/{session_id},DELETE,/auth/sessions/{session_id},15,https://example.com/auth/sessions/sess_9001
GET /analytics/events/{event_id},GET,/analytics/events/{event_id},15,https://example.com/analytics/events/101_201
GET /api/v1/employees,GET,/api/v1/employees,1,https://example.com/api/v1/employees
GET /api/v2/employees,GET,/api/v2/employees,1,https://example.com/api/v2/employees
GET /api/v3/employees,GET,/api/v3/employees,1,https://example.com/api/v3/employees
GET /auth/users/{user_id},GET,/auth/users/{user_id},20,https://example.com/auth/users/usr_501
GET /auth/users/{user_id}/roles,GET,/auth/users/{user_id}/roles,15,https://example.com/auth/users/usr_501/roles
GET /billing/charges/{charge_id},GET,/billing/charges/{charge_id},15,https://example.com/billing/charges/ch_1AbCdEfGhIjKlMn
GET /billing/customers/{customer_id},GET,/billing/customers/{customer_id},15,https://example.com/billing/customers/cus_1AbCdEfG
GET /blog/authors,GET,/blog/authors,5,https://example.com/blog/authors
GET /blog/categories,GET,/blog/categories,5,https://example.com/blog/categories
GET /blog/posts/analyse-approfondie,GET,/blog/posts/analyse-approfondie,1,https://example.com/blog/posts/analyse-approfondie
GET /blog/posts/avis-personnel,GET,/blog/posts/avis-personnel,1,https://example.com/blog/posts/avis-personnel
GET /blog/posts/billet-invite,GET,/blog/posts/billet-invite,1,https://example.com/blog/posts/billet-invite
GET /blog/posts/chronique-hebdo,GET,/blog/posts/chronique-hebdo,1,https://example.com/blog/posts/chronique-hebdo
GET /blog/posts/mon-titre-darticle,GET,/blog/posts/mon-titre-darticle,1,https://example.com/blog/posts/mon-titre-darticle
GET /blog/posts/notes-de-voyage,GET,/blog/posts/notes-de-voyage,1,https://example.com/blog/posts/notes-de-voyage
GET /blog/posts/recette-facile,GET,/blog/posts/recette-facile,1,https://example.com/blog/posts/recette-facile
GET /blog/posts/reflexions-du-jour,GET,/blog/posts/reflexions-du-jour,1,https://example.com/blog/posts/reflexions-du-jour
GET /blog/posts/retrospective-annuelle,GET,/blog/posts/retrospective-annuelle,1,https://example.com/blog/posts/retrospective-annuelle
GET /blog/posts/une-histoire-sans-fin,GET,/blog/posts/une-histoire-sans-fin,1,https://example.com/blog/posts/une-histoire-sans-fin
GET /blog/posts/{post_id},GET,/blog/posts/{post_id},20,https://example.com/blog/posts/guide-python-400
GET /blog/tags,GET,/blog/tags,5,https://example.com/blog/tags
GET /catalog/items/{item_id},GET,/catalog/items/{item_id},15,https://example.com/catalog/items/XYZ-4001
GET /chain/transactions/{transaction_id},GET,/chain/transactions/{transaction_id},15,https://example.com/chain/transactions/0x1a2b3c4d5e
GET /finance/invoices/{invoice_id},GET,/finance/invoices/{invoice_id},15,https://example.com/finance/invoices/INV-2024-2001
GET /gadgets/items/{resource_id},GET,/gadgets/items/{resource_id},15,https://example.com/gadgets/items/xqz_701
GET /hr/departments,GET,/hr/departments,5,https://example.com/hr/departments
GET /hr/departments/{department_id}/employees/{employee_id},GET,/hr/departments/{department_id}/employees/{employee_id},15,https://example.com/hr/departments/dept_10/employees/emp_110
GET /hr/employees,GET,/hr/employees,5,https://example.com/hr/employees
GET /hr/employees/{employee_id},GET,/hr/employees/{employee_id},20,https://example.com/hr/employees/emp_101
GET /inventory/skus/{sku},GET,/inventory/skus/{sku},15,https://example.com/inventory/skus/SKU-1234AB
GET /reports/active,GET,/reports/active,1,https://example.com/reports/active
GET /reports/archived,GET,/reports/archived,1,https://example.com/reports/archived
GET /reports/completed,GET,/reports/completed,1,https://example.com/reports/completed
GET /reports/pending,GET,/reports/pending,1,https://example.com/reports/pending
GET /shop/carts/{cart_id},GET,/shop/carts/{cart_id},15,https://example.com/shop/carts/cart_7001
GET /shop/carts/{cart_id}/items/{resource_id},GET,/shop/carts/{cart_id}/items/{resource_id},10,https://example.com/shop/carts/cart_7001/items/item_1
GET /shop/orders/{order_id},GET,/shop/orders/{order_id},20,https://example.com/shop/orders/ord_3001
GET /shop/products/{product_id},GET,/shop/products/{product_id},30,https://example.com/shop/products/prod_1
GET /support/tickets/{ticket_id},GET,/support/tickets/{ticket_id},15,https://example.com/support/tickets/TCK-2024-1001
GET /webhooks/{webhook_id},GET,/webhooks/{webhook_id},15,https://example.com/webhooks/9f2a7b
POST /auth/login,POST,/auth/login,5,https://example.com/auth/login
POST /auth/logout,POST,/auth/logout,5,https://example.com/auth/logout
POST /auth/register,POST,/auth/register,5,https://example.com/auth/register
POST /hr/employees/{employee_id}/contract,POST,/hr/employees/{employee_id}/contract,15,https://example.com/hr/employees/emp_301/contract
POST /hr/employees/{employee_id}/salary,POST,/hr/employees/{employee_id}/salary,15,https://example.com/hr/employees/emp_301/salary
POST /shop/orders/{order_id}/cancel,POST,/shop/orders/{order_id}/cancel,15,https://example.com/shop/orders/ord_3001/cancel
POST /shop/orders/{order_id}/refund,POST,/shop/orders/{order_id}/refund,15,https://example.com/shop/orders/ord_3001/refund
