id,category,method,id_hits,id_total,fixed_hits,fixed_total,name_hits,name_total,consistency_violations,consistency_positions,passed,leaked_names,sample_templates
a01_entier_pur,regex_forms,GET,3,3,6,6,3,3,0,1,True,,/api/orders/{order_id}
a02_uuid_avec_tirets,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/api/sessions/{session_id}
a03_uuid_sans_tirets,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/api/sessions/{session_id}
a04_hash_md5_like,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/api/files/{file_id}
a05_hash_sha1_like,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/api/commits/{commit_id}
a06_mongo_objectid,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/api/documents/{document_id}
a07_jwt_like,regex_forms,GET,1,1,2,2,1,1,0,1,True,,/api/tokens/{token_id}
a08_date,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/api/reports/{report_id}
a09_datetime,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/api/logs/{log_id}
a10_invoice_code,regex_forms,GET,3,3,6,6,3,3,0,1,True,,/api/invoices/{invoice_id}
a11_payment_code,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/api/payments/{payment_id}
a12_employee_code_dash,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/api/employees/{employee_id}
a13_generic_business_code,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/api/widgets/{widget_id}
a14_stripe_style,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/api/charges/{charge_id}
a15_short_prefixed,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/api/items/{user_id}
a16_short_hex,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/api/webhooks/{webhook_id}
a17_ulid,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/api/events/{event_id}
a18_prefixed_2part,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/hr/employees/{employee_id}
a19_prefixed_3part,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/hr/contracts/{contract_id}
a20_prefixed_uuid,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/auth/users/{user_id}
a21_slug_id_suffix,regex_forms,GET,3,3,6,6,3,3,0,1,True,,/blog/posts/{post_id}
